"outlet_name","political_leaning","link","domain","domain_stripped","source","factuality","bias","qr_check"
"Mobile Courant","Right-Center","https://mobilecourant.com/","mobilecourant.com","mobilecourant","MBFC","mixed","Questionable","questionable"
"Mohave Today","Right-Center","https://mohavetoday.com/","mohavetoday.com","mohavetoday","MBFC","mixed","Questionable","questionable"
"Natural State News","Right-Center","https://naturalstatenews.com/","naturalstatenews.com","naturalstatenews","MBFC","mixed","Questionable","questionable"
"North Central Arkansas News","Right-Center","https://ncarkansasnews.com/","ncarkansasnews.com","ncarkansasnews","MBFC","mixed","Questionable","questionable"
"NE Alabama News","Right-Center","https://nealabamanews.com/","nealabamanews.com","nealabamanews","MBFC","mixed","Questionable","questionable"
"NE Valley Times","Right-Center","https://nevalleytimes.com/","nevalleytimes.com","nevalleytimes","MBFC","mixed","Questionable","questionable"
"North Alaska News","Right-Center","https://northalaskanews.com/","northalaskanews.com","northalaskanews","MBFC","mixed","Questionable","questionable"
"North Birmingham Times","Right-Center","https://northbirminghamtimes.com/","northbirminghamtimes.com","northbirminghamtimes","MBFC","mixed","Questionable","questionable"
"North Little Rock Times","Right-Center","https://northlittlerocktimes.com/","northlittlerocktimes.com","northlittlerocktimes","MBFC","mixed","Questionable","questionable"
"North Pima News","Right-Center","https://northpimanews.com/","northpimanews.com","northpimanews","MBFC","mixed","Questionable","questionable"
"NW Alabama News","Right-Center","https://nwalabamanews.com/","nwalabamanews.com","nwalabamanews","MBFC","mixed","Questionable","questionable"
"NW Arkansas News","Right-Center","https://nwarkansasnews.com/","nwarkansasnews.com","nwarkansasnews","MBFC","mixed","Questionable","questionable"
"NW Valley Times","Right-Center","https://nwvalleytimes.com/","nwvalleytimes.com","nwvalleytimes","MBFC","mixed","Questionable","questionable"
"Patribotics Blog","Right-Center","https://patribotics.blog/","patribotics.blog","patribotics","MBFC","low","Questionable","questionable"
"PHX Reporter","Right-Center","https://phxreporter.com/","phxreporter.com","phxreporter","MBFC","mixed","Questionable","questionable"
"Pinal Today","Right-Center","https://pinaltoday.com/","pinaltoday.com","pinaltoday","MBFC","mixed","Questionable","questionable"
"Pulaski Times","Right-Center","https://pulaskitimes.com/","pulaskitimes.com","pulaskitimes","MBFC","mixed","Questionable","questionable"
"River Region Times","Right-Center","https://riverregiontimes.com/","riverregiontimes.com","riverregiontimes","MBFC","mixed","Questionable","questionable"
"Ruptly","Right-Center","https://ruptly.tv/","ruptly.tv","ruptly","MBFC","mixed","Questionable","questionable"
"SC Alaska News","Right-Center","https://scalaskanews.com/","scalaskanews.com","scalaskanews","MBFC","mixed","Questionable","questionable"
"SE Alaska News","Right-Center","https://sealaskanews.com/","sealaskanews.com","sealaskanews","MBFC","mixed","Questionable","questionable"
"SE Arizona News","Right-Center","https://searizonanews.com/","searizonanews.com","searizonanews","MBFC","mixed","Questionable","questionable"
"Shoals Today","Right-Center","https://shoalstoday.com/","shoalstoday.com","shoalstoday","MBFC","mixed","Questionable","questionable"
"South Alabama Times","Right-Center","https://southalabamatimes.com/","southalabamatimes.com","southalabamatimes","MBFC","mixed","Questionable","questionable"
"South Birmingham Times","Right-Center","https://southbirminghamtimes.com/","southbirminghamtimes.com","southbirminghamtimes","MBFC","mixed","Questionable","questionable"
"South Pima News","Right-Center","https://southpimanews.com/","southpimanews.com","southpimanews","MBFC","mixed","Questionable","questionable"
"SW Alaska News","Right-Center","https://swalaskanews.com/","swalaskanews.com","swalaskanews","MBFC","mixed","Questionable","questionable"
"SW Arizona News","Right-Center","https://swarizonanews.com/","swarizonanews.com","swarizonanews","MBFC","mixed","Questionable","questionable"
"SW Arkansas Times","Right-Center","https://swarkansastimes.com/","swarkansastimes.com","swarkansastimes","MBFC","mixed","Questionable","questionable"
"SW Valley Times","Right-Center","https://swvalleytimes.com/","swvalleytimes.com","swvalleytimes","MBFC","mixed","Questionable","questionable"
"Russia News Agency-TASS","Right-Center","https://tass.com/","tass.com","tass","MBFC","mixed","Questionable","questionable"
"TechStartups","Right-Center","https://techstartups.com/","techstartups.com","techstartups","MBFC","mixed","Questionable","questionable"
"Tucson Standard","Right-Center","https://tucsonstandard.com/","tucsonstandard.com","tucsonstandard","MBFC","mixed","Questionable","questionable"
"Tuscaloosa Leader","Right-Center","https://tuscaloosaleader.com/","tuscaloosaleader.com","tuscaloosaleader","MBFC","mixed","Questionable","questionable"
"Upper Delta News","Right-Center","https://upperdeltanews.com/","upperdeltanews.com","upperdeltanews","MBFC","mixed","Questionable","questionable"
"West Central Alabama News","Right-Center","https://wcalabamanews.com/","wcalabamanews.com","wcalabamanews","MBFC","mixed","Questionable","questionable"
"Wiregrass Times","Right-Center","https://wiregrasstimes.com/","wiregrasstimes.com","wiregrasstimes","MBFC","mixed","Questionable","questionable"
"Council for American-Islamic Relations (CAIR)","Right-Center","https://www.cair.com/","www.cair.com","cair","MBFC","mixed","Questionable","questionable"
"Caixin Global","Right-Center","https://www.caixinglobal.com/","www.caixinglobal.com","caixinglobal","MBFC","mixed","Questionable","questionable"
"RT News","Right-Center","https://www.rt.com/news/","www.rt.com","rt","MBFC","very low","Questionable","questionable"
"The Science Times","Right-Center","https://www.sciencetimes.com/","www.sciencetimes.com","sciencetimes","MBFC","mixed","Questionable","questionable"
"YourContent","Right-Center","https://www.yc.news/","www.yc.news","yc","MBFC","mixed","Questionable","questionable"
"Yavapai News","Right-Center","https://yavapainews.com/","yavapainews.com","yavapainews","MBFC","mixed","Questionable","questionable"
"Yellowhammer Times","Right-Center","https://yellowhammertimes.com/","yellowhammertimes.com","yellowhammertimes","MBFC","mixed","Questionable","questionable"
"Daily Star UK","Right-Center","www.dailystar.co.uk","www.dailystar.co.uk","dailystar","MBFC","mixed","Questionable","questionable"
"AlternativeNews.com","Right","alternativenews.com","alternativenews.com","alternativenews","MBFC","low","Conspiracy-Pseudoscience","questionable"
"American Herald Tribune","Right","ahtribune.com","ahtribune.com","ahtribune","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"American Intelligence Media","Right","aim4truth.org","aim4truth.org","aim4truth","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"American Action News","Right","americanactionnews.com","americanactionnews.com","americanactionnews","MBFC","mixed","Questionable","questionable"
"Behold Israel","Right","beholdisrael.org","beholdisrael.org","beholdisrael","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Experience Awareness","Right","AbcBusinessNews.com","abcbusinessnews.com","abcbusinessnews","MBFC","very low","Questionable","questionable"
"End the Fed","Right","endthefed.org","endthefed.org","endthefed","MBFC","low","Questionable","questionable"
"Freedomain Radio","Right","freedomainradio.com","freedomainradio.com","freedomainradio","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"American Web Media (AWM)","Right","http://awm.com/","awm.com","awm","MBFC","mixed","Questionable","questionable"
"Big Government News","Right","http://biggovernment.news/index.html","biggovernment.news","biggovernment","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Conservative Matrix","Right","http://conservativematrix.com/","conservativematrix.com","conservativematrix","MBFC","mixed","Questionable","questionable"
"Proto Thema","Right","http://en.protothema.gr/","en.protothema.gr","protothema","MBFC","mixed","Questionable","questionable"
"Fact Checking Turkey","Right","http://factcheckingturkey.com/","factcheckingturkey.com","factcheckingturkey","MBFC","mixed","Questionable","questionable"
"Herbreference.com","Right","http://herbreference.com/","herbreference.com","herbreference","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"InfoRos.ru","Right","http://inforos.ru/","inforos.ru","inforos","MBFC","low","Questionable","questionable"
"PM Nightly News","Right","http://pmnightlynews.com/","pmnightlynews.com","pmnightlynews","MBFC","mixed","Questionable","questionable"
"Project Veritas","Right","http://projectveritas.com/","projectveritas.com","projectveritas","MBFC","mixed","Questionable","questionable"
"Sputnik News","Right","http://sputniknews.com/","sputniknews.com","sputniknews","MBFC","very low","Questionable","questionable"
"Stranger than Fiction News","Right","http://stfnreport.com/","stfnreport.com","stfnreport","MBFC","mixed","Questionable","questionable"
"The Blacksphere","Right","http://theblacksphere.net/","theblacksphere.net","theblacksphere","MBFC","mixed","Questionable","questionable"
"The Boston Tribune","Right","http://thebostontribune.com/","thebostontribune.com","thebostontribune","MBFC","low","Questionable","questionable"
"Truth in Media","Right","http://truthinmedia.com/","truthinmedia.com","truthinmedia","MBFC","low","Questionable","questionable"
"BillionBibles.org","Right","http://www.billionbibles.org","www.billionbibles.org","billionbibles","MBFC","very low","Questionable","questionable"
"GoodGopher","Right","http://www.goodgopher.com/","www.goodgopher.com","goodgopher","MBFC","very low","Questionable","questionable"
"MagaPill","Right","http://www.magapill.com","www.magapill.com","magapill","MBFC","mixed","Questionable","questionable"
"National Enquirer","Right","http://www.nationalenquirer.com/","www.nationalenquirer.com","nationalenquirer","MBFC","low","Questionable","questionable"
"Newsmax","Right","http://www.newsmax.com/","www.newsmax.com","newsmax","MBFC","mixed","Questionable","questionable"
"Pravda Report","Right","http://www.pravdareport.com/","www.pravdareport.com","pravdareport","MBFC","very low","Questionable","questionable"
"Press TV","Right","http://www.presstv.com/","www.presstv.com","presstv","MBFC","low","Questionable","questionable"
"The Daily Bell","Right","http://www.thedailybell.com/","www.thedailybell.com","thedailybell","MBFC","low","Questionable","questionable"
"The Epoch Times","Right","http://www.theepochtimes.com/","www.theepochtimes.com","theepochtimes","MBFC","mixed","Questionable","questionable"
"Twisted News","Right","http://www.twisted.news/","www.twisted.news","twisted","MBFC","very low","Questionable","questionable"
"Christian Broadcasting Network (CBN)","Right","http://www1.cbn.com","www1.cbn.com","cbn","MBFC","mixed","Questionable","questionable"
"Breaking Wide","Right","https://breakingwide.com/","breakingwide.com","breakingwide","MBFC","mixed","Questionable","questionable"
"The Buffalo Chroicle","Right","https://buffalochronicle.com","buffalochronicle.com","buffalochronicle","MBFC","mixed","Questionable","questionable"
"Competitive Enterprise Institute","Right","https://cei.org/","cei.org","cei","MBFC","low","Questionable","questionable"
"Conservative Buzz","Right","https://conservativebuzz.com","conservativebuzz.com","conservativebuzz","MBFC","mixed","Questionable","questionable"
"The Conservative Papers","Right","https://conservativepapers.com/","conservativepapers.com","conservativepapers","MBFC","mixed","Questionable","questionable"
"Daily Political Newswire","Right","https://dailypoliticalnewswire.com","dailypoliticalnewswire.com","dailypoliticalnewswire","MBFC","mixed","Questionable","questionable"
"Mehr News Agency","Right","https://en.mehrnews.com","en.mehrnews.com","mehrnews","MBFC","mixed","Questionable","questionable"
"FaithIt","Right","https://faithit.com/","faithit.com","faithit","MBFC","mixed","Questionable","questionable"
"Freedom News Report","Right","https://freedomnewsreport.com","freedomnewsreport.com","freedomnewsreport","MBFC","mixed","Questionable","questionable"
"The Free Telegraph","Right","https://freetelegraph.com/","freetelegraph.com","freetelegraph","MBFC","mixed","Questionable","questionable"
"Ghost.Report","Right","https://ghost.report/","ghost.report","ghost","MBFC","mixed","Questionable","questionable"
"Gnews","Right","https://gnews.org/","gnews.org","gnews","MBFC","low","Questionable","questionable"
"Here is the Evidence","Right","https://hereistheevidence.com/","hereistheevidence.com","hereistheevidence","MBFC","low","Questionable","questionable"
"National Rifle Association","Right","https://home.nra.org/","home.nra.org","nra","MBFC","mixed","Questionable","questionable"
"MAGA Daily Report","Right","https://magadailyreport.com","magadailyreport.com","magadailyreport","MBFC","mixed","Questionable","questionable"
"Press Corp","Right","https://presscorp.org/","presscorp.org","presscorp","MBFC","mixed","Questionable","questionable"
"Quillette","Right","https://quillette.com","quillette.com","quillette","MBFC","mixed","Questionable","questionable"
"Raw Conservative Opinions","Right","https://rawconservativeopinions.com/","rawconservativeopinions.com","rawconservativeopinions","MBFC","mixed","Questionable","questionable"
"South Africa Today","Right","https://southafricatoday.net","southafricatoday.net","southafricatoday","MBFC","mixed","Questionable","questionable"
"Swarajya","Right","https://swarajyamag.com/","swarajyamag.com","swarajyamag","MBFC","low","Questionable","questionable"
"TB Daily News","Right","https://tbdailynews.com/","tbdailynews.com","tbdailynews","MBFC","mixed","Questionable","questionable"
"The Duran","Right","https://theduran.com/","theduran.com","theduran","MBFC","low","Questionable","questionable"
"Townhall","Right","https://townhall.com/","townhall.com","townhall","MBFC","mixed","Questionable","questionable"
"Trending Politics","Right","https://trendingpolitics.com/","trendingpolitics.com","trendingpolitics","MBFC","mixed","Questionable","questionable"
"True Pundit","Right","https://truepundit.com/","truepundit.com","truepundit","MBFC","low","Conspiracy-Pseudoscience","questionable"
"USA Really","Right","https://usareally.com","usareally.com","usareally","MBFC","very low","Questionable","questionable"
"American College of Pediatricians","Right","https://www.acpeds.org/","www.acpeds.org","acpeds","MBFC","low","Questionable","questionable"
"A Voice for Men","Right","https://www.avoiceformen.com/","www.avoiceformen.com","avoiceformen","MBFC","low","Questionable","questionable"
"Checkpoint Asia","Right","https://www.checkpointasia.net","www.checkpointasia.net","checkpointasia","MBFC","low","Questionable","questionable"
"Daily Mail","Right","https://www.dailymail.co.uk","www.dailymail.co.uk","dailymail","MBFC","low","Questionable","questionable"
"DEBKAfile","Right","https://www.debka.com","www.debka.com","debka","MBFC","mixed","Questionable","questionable"
"Ecology News","Right","https://www.ecology.news/","www.ecology.news","ecology","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Republican National Committee (RNC)","Right","https://www.gop.com/","www.gop.com","gop","MBFC","mixed","Questionable","questionable"
"Gop.gov House Republicans","Right","https://www.gop.gov","www.gop.gov","gop","MBFC","mixed","Questionable","questionable"
"Heartland Institute","Right","https://www.heartland.org/","www.heartland.org","heartland","MBFC","low","Questionable","questionable"
"Just the Facts","Right","https://www.justthefacts.org","www.justthefacts.org","justthefacts","MBFC","mixed","Questionable","questionable"
"Lucianne.com","Right","https://www.lucianne.com","www.lucianne.com","lucianne","MBFC","mixed","Questionable","questionable"
"Middle East Media Research Institute (Memri)","Right","https://www.memri.org/","www.memri.org","memri","MBFC","mixed","Questionable","questionable"
"MSMLies.com","Right","https://www.msmlies.com/","www.msmlies.com","msmlies","MBFC","mixed","Questionable","questionable"
"Pandemic News","Right","https://www.pandemic.news/","www.pandemic.news","pandemic","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"RedState","Right","https://www.redstate.com","www.redstate.com","redstate","MBFC","mixed","Right Bias","reliable"
"Revolver.News","Right","https://www.revolver.news/","www.revolver.news","revolver","MBFC","mixed","Questionable","questionable"
"RushLimbaugh.com","Right","https://www.rushlimbaugh.com/","www.rushlimbaugh.com","rushlimbaugh","MBFC","very low","Questionable","questionable"
"Tasnim News Agency","Right","https://www.tasnimnews.com/en","www.tasnimnews.com","tasnimnews","MBFC","mixed","Questionable","questionable"
"Technocracy.News","Right","https://www.technocracy.news/","www.technocracy.news","technocracy","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"The Tehran Times","Right","https://www.tehrantimes.com/","www.tehrantimes.com","tehrantimes","MBFC","mixed","Questionable","questionable"
"The Conservative Brief","Right","https://www.theconservativebrief.com","www.theconservativebrief.com","theconservativebrief","MBFC","mixed","Questionable","questionable"
"The Healthy American","Right","https://www.thehealthyamerican.org/","www.thehealthyamerican.org","thehealthyamerican","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"The Post & Email","Right","https://www.thepostemail.com","www.thepostemail.com","thepostemail","MBFC","mixed","Questionable","questionable"
"ToddStarnes.com","Right","https://www.toddstarnes.com/","www.toddstarnes.com","toddstarnes","MBFC","mixed","Questionable","questionable"
"Turning Point USA","Right","https://www.turningpoint.news/","www.turningpoint.news","turningpoint","MBFC","low","Questionable","questionable"
"Western Journal","Right","https://www.westernjournal.com/","www.westernjournal.com","westernjournal","MBFC","mixed","Questionable","questionable"
"Women are Human","Right","https://www.womenarehuman.com/","www.womenarehuman.com","womenarehuman","MBFC","mixed","Questionable","questionable"
"Humans are Free","Right","humansarefree.com","humansarefree.com","humansarefree","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Investment Watch Blog","Right","investmentwatchblog.com","investmentwatchblog.com","investmentwatchblog","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"American Conservative Media","Right","https://americanconservativemedia.com/","americanconservativemedia.com","americanconservativemedia","MBFC","mixed","Questionable","questionable"
"New American News","Right","newamericannews.com","newamericannews.com","newamericannews","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Red Blue Divide","Right","redbluedivide.com","redbluedivide.com","redbluedivide","MBFC","mixed","Questionable","questionable"
"Redoubt News","Right","redoubtnews.com","redoubtnews.com","redoubtnews","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Revolution Radio","Right","revolutionradio.org","revolutionradio.org","revolutionradio","MBFC","low","Conspiracy-Pseudoscience","questionable"
"The Stream","Right","stream.org","stream.org","stream","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"The Bearded Patriot","Right","thebeardedpatriot.com","thebeardedpatriot.com","thebeardedpatriot","MBFC","low","Questionable","questionable"
"Vigilant Citizen","Right","vigilantcitizen.com","vigilantcitizen.com","vigilantcitizen","MBFC","low","Conspiracy-Pseudoscience","questionable"
"We are Change","Right","wearechange.org","wearechange.org","wearechange","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"WikiIslam","Right","wikiislam.net","wikiislam.net","wikiislam","MBFC","mixed","Questionable","questionable"
"Center for Security Policy","Right","www.centerforsecuritypolicy.org","www.centerforsecuritypolicy.org","centerforsecuritypolicy","MBFC","mixed","Questionable","questionable"
"The European Union Times","Right","www.eutimes.net","www.eutimes.net","eutimes","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Got Questions","Right","www.gotquestions.org","www.gotquestions.org","gotquestions","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Infinite Unknown","Right","www.infiniteunknown.net","www.infiniteunknown.net","infiniteunknown","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Intellihub","Right","www.intellihub.com","www.intellihub.com","intellihub","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Prophecy News Watch","Right","www.prophecynewswatch.com","www.prophecynewswatch.com","prophecynewswatch","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Prophecy Today","Right","www.prophecytoday.com","www.prophecytoday.com","prophecytoday","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Rapture News Network","Right","www.rapturenewsnetwork.com","www.rapturenewsnetwork.com","rapturenewsnetwork","MBFC","low","Conspiracy-Pseudoscience","questionable"
"SGT Report","Right","www.sgtreport.com","www.sgtreport.com","sgtreport","MBFC","low","Conspiracy-Pseudoscience","questionable"
"The Common Sense Show","Right","www.thecommonsenseshow.com","www.thecommonsenseshow.com","thecommonsenseshow","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"The Daily Sheeple","Right","www.thedailysheeple.com","www.thedailysheeple.com","thedailysheeple","MBFC","low","Conspiracy-Pseudoscience","questionable"
"The Liberty Beacon","Right","www.thelibertybeacon.com","www.thelibertybeacon.com","thelibertybeacon","MBFC","low","Conspiracy-Pseudoscience","questionable"
"What Really Happened","Right","www.whatreallyhappened.com","www.whatreallyhappened.com","whatreallyhappened","MBFC","low","Conspiracy-Pseudoscience","questionable"
"USA Politics Now","Right","http://usapoliticsnow.com/","usapoliticsnow.com","usapoliticsnow","MBFC","low","Questionable","questionable"
"911Truth.org",NA,"911truth.org","911truth.org","911truth","MBFC","low","Conspiracy-Pseudoscience","questionable"
"AltHealth Works",NA,"althealthworks.com","althealthworks.com","althealthworks","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Answers in Genesis",NA,"answersingenesis.org","answersingenesis.org","answersingenesis","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Assassination Science",NA,"assassinationscience.com","assassinationscience.com","assassinationscience","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Awareness Act",NA,"awarenessact.com","awarenessact.com","awarenessact","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Biologos Foundation",NA,"biologos.org","biologos.org","biologos","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Climate Change Dispatch",NA,"climatechangedispatch.com","climatechangedispatch.com","climatechangedispatch","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Cosmic Intelligence Agency",NA,"cosmicintelligenceagency.com","cosmicintelligenceagency.com","cosmicintelligenceagency","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Christian Ministries International",NA,"creation.com","creation.com","creation","MBFC","low","Conspiracy-Pseudoscience","questionable"
"CS Globe",NA,"csglobe.com","csglobe.com","csglobe","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Curious Mind Magazine",NA,"curiousmindmagazine.com","curiousmindmagazine.com","curiousmindmagazine","MBFC","low","Conspiracy-Pseudoscience","questionable"
"DailyHealthPost",NA,"dailyhealthpost.com","dailyhealthpost.com","dailyhealthpost","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Daily Occupation",NA,"dailyoccupation.com","dailyoccupation.com","dailyoccupation","MBFC","low","Conspiracy-Pseudoscience","questionable"
"21st Century Wire",NA,"https://21stcenturywire.com/","21stcenturywire.com","21stcenturywire","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"369 News",NA,"369news.net","369news.net","369news","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Alliance for Advanced Health",NA,"allianceforadvancedhealth.com","allianceforadvancedhealth.com","allianceforadvancedhealth","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"American Digital News",NA,"americandigitalnews.com","americandigitalnews.com","americandigitalnews","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Archaeology World",NA,"archaeology-world.com","archaeology-world.com","archaeology-world","MBFC","mixed","Questionable","questionable"
"Asia-Pacific Research",NA,"asia-pacificresearch.com","asia-pacificresearch.com","asia-pacificresearch","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"BrightSide",NA,"brightside.me","brightside.me","brightside","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"CreationWiki",NA,"creationwiki.org","creationwiki.org","creationwiki","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Dr. Axe",NA,"draxe.com","draxe.com","draxe","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"We are Anonymous",NA,"anonhq.com","anonhq.com","anonhq","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Breaking911",NA,"breaking911.com","breaking911.com","breaking911","MBFC","very low","Questionable","questionable"
"Cap News",NA,"cap-news.com","cap-news.com","cap-news","MBFC","very low","Questionable","questionable"
"Daily Buzz Live",NA,"dailybuzzlive.com","dailybuzzlive.com","dailybuzzlive","MBFC","very low","Questionable","questionable"
"Earthpulse Press",NA,"earthpulse.com","earthpulse.com","earthpulse","MBFC","low","Conspiracy-Pseudoscience","questionable"
"Educate Yourself",NA,"educate-yourself.org","educate-yourself.org","educate-yourself","MBFC","very low","Conspiracy-Pseudoscience","questionable"
"Educate Inspire Change",NA,"educateinspirechange.org","educateinspirechange.org","educateinspirechange","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
"Eluxe Magazine",NA,"eluxemagazine.com","eluxemagazine.com","eluxemagazine","MBFC","mixed","Conspiracy-Pseudoscience","questionable"
